timestamp,timeframe,strategy_name,strategy_signal,ml_prediction,ml_confidence,decision,confidence,reason,risk_assessment,model,cached,prompt_hash,error
2025-03-28 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.43960464323665654,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-04-02 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.34496437904183647,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-04-04 08:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.34755029101278034,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-04-05 00:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.5114945071359284,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-04-10 12:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.3708972720167464,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-04-12 00:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.4607117069801559,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-04-16 08:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.34130069959421,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-04-20 16:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.347921381369128,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-04-23 00:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.5781338954498778,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-05-06 16:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.34466864304589007,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-05-15 08:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3477898260553161,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-05-19 12:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3530017471649251,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-05-24 00:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.39091589988206354,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-05-25 16:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.37658149407421126,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-05-29 08:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.3406726470351678,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-05-30 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3660287817351838,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-06-03 00:00:00+00:00,4h,ema_rsi_trend,SHORT,LONG,0.3523338555873997,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-06-03 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.34076325229062976,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-06-06 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3454488954343259,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-06-08 08:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.3627564808409834,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-06-13 04:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3929941818892864,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-06-16 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.4158835479515508,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-06-17 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3815970636163313,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-06-20 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.35219333549980364,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2025-06-24 20:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.3386757749112027,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
